Trial,Lane,Traffic,Yield,eHMI,First_Car_Creation_Time,First_Car_Decel_Time,First_Car_eHMI_ON_Time,First_Car_Stop_Time,First_Car_eHMI_OFF_Time,First_Car_Accel_Start_Time,First_Car_Destroy_Time,Second_Car_Creation_Time,Second_Car_Decel_Time,Second_Car_eHMI_ON_Time,Second_Car_Stop_Time,Second_Car_eHMI_OFF_Time,Second_Car_Accel_Start_Time,Second_Car_Destroy_Time,Collision_Car,Collision_Time,Pedestrian_Enter_time,Pedestrian_Exit_Time,TrialTimeOut,TrialTimeOut_Time
11,Three Lane,Two Car Different,Yield,eHMI A,0.00337580009363592,2.35223269462585,2.35223269462585,8.13680267333984,N/A,N/A,9.31812191009521,0.00337580009363592,2.36913657188416,2.36913657188416,8.15354156494141,N/A,N/A,9.31812191009521,N/A,N/A,4.62412786483765,8.93633270263672,N/A,N/A,
6,Four Lane,Single Car,Yield,eHMI A,0,2.36527132987976,2.36527132987976,8.15075302124023,12.7128171920776,12.7128171920776,13.0959033966064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.40109348297119,12.7141561508179,N/A,N/A,
12,Four Lane,Two Car Different,Yield,eHMI A,0,2.36620163917542,2.36620163917542,8.15186023712158,N/A,N/A,11.5266914367676,0,2.36620163917542,2.36620163917542,8.15186023712158,11.1537084579468,11.1537084579468,11.5266914367676,N/A,N/A,6.83194160461426,11.144681930542,N/A,N/A,
8,Three Lane,Two Car Different,No Yield,N/A,0,N/A,N/A,N/A,N/A,N/A,9.35565090179443,0,2.34867906570435,N/A,8.13412666320801,N/A,11.137547492981,11.2838335037231,N/A,N/A,6.59145975112915,10.9026851654053,N/A,N/A,
27,Four Lane,Two Car Different,No Yield,N/A,0,2.34827280044556,N/A,8.13322925567627,N/A,N/A,11.3355913162231,0,2.34827280044556,N/A,8.13322925567627,N/A,11.135027885437,11.3355913162231,N/A,N/A,6.64128398895264,10.9545869827271,N/A,N/A,
18,Four Lane,Two Car Same,Yield,eHMI A,0,2.36731028556824,2.36731028556824,N/A,N/A,N/A,6.74188899993896,2.29410338401794,2.34901356697083,2.34901356697083,N/A,N/A,N/A,6.74188899993896,N/A,N/A,2.04738235473633,6.36003446578979,N/A,N/A,
31,Two Lane,Two Car Same,No Yield,N/A,0,N/A,N/A,N/A,N/A,N/A,6.65693044662476,2.31873488426208,N/A,N/A,N/A,N/A,N/A,6.65693044662476,N/A,N/A,1.96331739425659,6.27578783035278,N/A,N/A,
2,Three Lane,Single Car,No Yield,N/A,0,N/A,N/A,N/A,N/A,N/A,5.93866777420044,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.24425506591797,5.55687236785889,N/A,N/A,
23,Three Lane,Single Car,Yield,eHMI B,0,2.34913921356201,2.34913921356201,N/A,N/A,N/A,7.06119775772095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.36892771720886,6.68080139160156,N/A,N/A,
28,Two Lane,Two Car Different,Yield,eHMI B,0,2.36657738685608,2.36657738685608,N/A,N/A,N/A,6.86588048934937,0,2.34848976135254,2.34848976135254,N/A,N/A,N/A,6.86588048934937,N/A,N/A,2.17261099815369,6.48431158065796,N/A,N/A,
35,Three Lane,Two Car Same,Yield,eHMI B,0,2.36650347709656,2.36650347709656,N/A,N/A,N/A,7.75010061264038,2.30540561676025,2.35946702957153,2.35946702957153,N/A,N/A,N/A,7.75010061264038,N/A,N/A,3.05755257606506,7.36845684051514,N/A,N/A,
